Transaction_ID,Time,Amount,Transaction_Type,Transaction_Freq,Class
1,1,9839.64,3,26,0
2,1,1864.28,3,26,0
3,1,181.0,4,26,1
4,1,181.0,1,26,1
5,1,11668.14,3,26,0
6,1,7817.71,3,26,0
7,1,7107.77,3,26,0
8,1,7861.64,3,26,0
9,1,4024.36,3,26,0
10,1,5337.77,2,26,0
11,1,9644.94,2,26,0
12,1,3099.97,3,26,0
13,1,2560.74,3,26,0
14,1,11633.76,3,26,0
15,1,4098.78,3,26,0
16,1,229133.94,1,26,0
17,1,1563.82,3,26,0
18,1,1157.86,3,26,0
19,1,671.64,3,26,0
20,1,215310.3,4,26,0
21,1,1373.43,3,26,0
22,1,9302.79,2,26,0
23,1,1065.41,2,26,0
24,1,3876.41,3,26,0
26,1,6061.13,3,26,0
27,1,9478.39,3,26,0
28,1,8009.09,3,26,0
29,1,8901.99,3,26,0
30,1,9920.52,3,26,0
31,1,3448.92,3,26,0
32,1,4206.84,3,26,0
33,1,5885.56,3,26,0
34,1,5307.88,3,26,0
35,1,5031.22,3,26,0
36,1,24213.67,3,26,0
37,1,8603.42,3,26,0
38,1,2791.42,3,26,0
39,1,7413.54,3,26,0
40,1,3295.19,3,26,0
41,1,1684.81,3,26,0
42,1,5758.59,2,26,0
43,1,110414.71,1,26,0
44,1,7823.46,3,26,0
45,1,5086.48,3,26,0
46,1,5281.48,3,26,0
47,1,13875.98,3,26,0
48,1,56953.9,1,26,0
49,1,5346.89,1,26,0
50,1,2204.04,3,26,0
51,1,2641.47,3,26,0
52,1,12607.08,1,26,0
53,1,2330.64,3,26,0
54,1,1614.64,3,26,0
55,1,9164.71,3,26,0
56,1,2970.97,3,26,0
57,1,38.66,3,26,0
58,1,2252.44,3,26,0
59,1,62610.8,4,26,0
60,1,5529.13,2,26,0
61,1,82940.31,1,26,0
62,1,4510.22,2,26,0
63,1,8727.74,2,26,0
64,1,2599.46,3,26,0
65,1,4874.49,2,26,0
66,1,6440.78,3,26,0
67,1,4910.14,3,26,0
68,1,12607.08,3,26,0
69,1,5149.66,2,26,0
70,1,7292.16,3,26,0
71,1,47458.86,1,26,0
72,1,136872.92,1,26,0
73,1,94253.33,1,26,0
74,1,2998.04,3,26,0
75,1,3454.08,3,26,0
76,1,4316.2,3,26,0
77,1,2131.84,3,26,0
78,1,12986.61,3,26,0
79,1,42712.39,4,26,0
80,1,77957.68,4,26,0
81,1,17231.46,4,26,0
82,1,78766.03,4,26,0
83,1,224606.64,4,26,0
84,1,125872.53,4,26,0
88,1,147543.1,4,26,0
93,1,209711.11,4,26,0
98,1,11996.58,4,26,0
99,1,2875.1,3,26,0
100,1,8586.98,3,26,0
101,1,871.75,3,26,0
102,1,1035.36,3,26,0
103,1,1063.53,3,26,0
104,1,1019.9,3,26,0
105,1,4059.38,3,26,0
106,1,1876.44,3,26,0
107,1,28404.6,1,26,0
108,1,75405.1,1,26,0
109,1,50101.88,1,26,0
110,1,14121.82,1,26,0
111,1,78292.91,1,26,0
112,1,176149.9,1,26,0
113,1,212228.35,1,26,0
114,1,85423.63,1,26,0
115,1,11648.5,1,26,0
116,1,6165.58,3,26,0
117,1,3705.83,3,26,0
120,1,3372.29,3,26,0
121,1,661.43,3,26,0
122,1,864.68,2,26,0
123,1,1203.44,3,26,0
125,1,1915.43,3,26,0
126,1,8.73,3,26,0
127,1,3058.8,2,26,0
128,1,5154.97,3,26,0
129,1,5213.25,3,26,0
130,1,5392.75,3,26,0
131,1,25.12,3,26,0
132,1,17150.89,3,26,0
134,1,177652.91,4,26,0
135,1,5443.26,3,26,0
136,1,244.87,3,26,0
137,1,8281.57,3,26,0
138,1,1175.59,3,26,0
139,1,1097.74,3,26,0
140,1,184986.8,4,26,0
141,1,1718.29,3,26,0
142,1,3671.32,3,26,0
143,1,3580.26,2,26,0
144,1,8550.9,3,26,0
145,1,9753.55,3,26,0
146,1,3026.98,3,26,0
148,1,3875.99,2,26,0
149,1,2148.89,3,26,0
